,ID,Sale_Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,No of Times Visited,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Year Since Renovation,Condition_of_the_House_Excellent,Condition_of_the_House_Fair,Condition_of_the_House_Good,Condition_of_the_House_Okay,Ever_Renovated_Yes,Waterfront_View_Yes,Zipcode_Group_Zipcode_Group_1,Zipcode_Group_Zipcode_Group_2,Zipcode_Group_Zipcode_Group_3,Zipcode_Group_Zipcode_Group_4,Zipcode_Group_Zipcode_Group_5,Zipcode_Group_Zipcode_Group_6,Zipcode_Group_Zipcode_Group_7,Zipcode_Group_Zipcode_Group_8,Zipcode_Group_Zipcode_Group_9
10,1736800520,662500.0,3,2.5,3560.0,9796.0,1.0,0,8,1860.0,1700,53,47.6007,-122.145,2210.0,8925,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11,9212900260,468000.0,2,1.0,1160.0,6000.0,1.0,0,7,860.0,300,76,47.69,-122.292,1330.0,6000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12,114101516,310000.0,3,1.0,1430.0,19901.0,1.5,0,7,1430.0,0,91,47.7558,-122.229,1780.0,12697,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,6054650070,400000.0,3,1.75,1370.0,9680.0,1.0,0,7,1370.0,0,41,47.6127,-122.045,1370.0,10208,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
14,1175000570,530000.0,5,2.0,1810.0,4850.0,1.5,0,7,1810.0,0,118,47.67,-122.394,1360.0,4850,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15,9297300055,650000.0,4,3.0,2950.0,5000.0,2.0,3,9,1980.0,970,39,47.5714,-122.375,2140.0,4000,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16,1875500060,395000.0,3,2.0,1890.0,14040.0,2.0,0,7,1890.0,0,24,47.7277,-121.962,1890.0,14018,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
17,6865200140,485000.0,4,1.0,1600.0,4300.0,1.5,0,7,1600.0,0,102,47.6648,-122.343,1610.0,4300,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
18,16000397,189000.0,2,1.0,1200.0,9850.0,1.0,0,7,1200.0,0,97,47.3089,-122.21,1060.0,5095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,7983200060,230000.0,3,1.0,1250.0,9774.0,1.0,0,7,1250.0,0,49,47.3343,-122.306,1280.0,8850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,6300500875,385000.0,4,1.75,1620.0,4980.0,1.0,0,7,860.0,760,71,47.7025,-122.341,1400.0,4980,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
21,2524049179,1129575.0,3,2.75,3050.0,44867.0,1.0,4,9,2330.0,720,50,47.5316,-122.233,4110.0,20336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
22,7137970340,285000.0,5,2.5,2270.0,6300.0,2.0,0,8,2270.0,0,23,47.3266,-122.169,2240.0,7005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
23,8091400200,252700.0,2,1.5,1070.0,9643.0,1.0,0,7,1070.0,0,33,47.3533,-122.166,1220.0,8386,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3814700200,329000.0,3,2.25,2450.0,6500.0,2.0,0,8,2450.0,0,33,47.3739,-122.172,2200.0,6865,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,1202000200,233000.0,3,2.0,1710.0,4697.0,1.5,0,6,1710.0,0,77,47.3048,-122.218,1030.0,4705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1794500383,937000.0,3,1.75,2450.0,2691.0,2.0,0,8,1750.0,700,103,47.6386,-122.36,1760.0,3573,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
27,3303700376,667000.0,3,1.0,1400.0,1581.0,1.5,0,8,1400.0,0,109,47.6221,-122.314,1860.0,3861,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,5101402488,438000.0,3,1.75,1520.0,6380.0,1.0,0,7,790.0,730,70,47.695,-122.304,1520.0,6235,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29,1873100390,719000.0,4,2.5,2570.0,7173.0,2.0,0,8,2570.0,0,13,47.7073,-122.11,2630.0,6026,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,8562750320,580500.0,3,2.5,2320.0,3980.0,2.0,0,8,2320.0,0,15,47.5391,-122.07,2580.0,3980,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31,2426039314,280000.0,2,1.5,1190.0,1265.0,3.0,0,7,1190.0,0,13,47.7274,-122.357,1390.0,1756,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
32,461000390,687500.0,4,1.75,2330.0,5000.0,1.5,0,7,1510.0,820,89,47.6823,-122.368,1460.0,5000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
33,7589200193,535000.0,3,1.0,1090.0,3000.0,1.5,0,8,1090.0,0,89,47.6889,-122.375,1570.0,5080,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34,7955080270,322500.0,4,2.75,2060.0,6659.0,1.0,0,7,1280.0,780,37,47.4276,-122.157,2020.0,8720,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,9547205180,696000.0,3,2.5,2300.0,3060.0,1.5,0,8,1510.0,790,88,47.6827,-122.31,1590.0,3264,15,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
36,9435300030,550000.0,4,1.0,1660.0,34848.0,1.0,0,5,930.0,730,85,47.6621,-122.132,2160.0,11467,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,2768000400,640000.0,4,2.0,2360.0,6000.0,2.0,0,8,2360.0,0,114,47.6702,-122.362,1730.0,4700,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,7895500070,240000.0,4,1.0,1220.0,8075.0,1.0,0,7,890.0,330,49,47.3341,-122.282,1290.0,7800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,2078500320,605000.0,4,2.5,2620.0,7553.0,2.0,0,8,2620.0,0,22,47.5301,-122.18,2620.0,11884,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
40,5547700270,625000.0,4,2.5,2570.0,5520.0,2.0,0,9,2570.0,0,18,47.6145,-122.027,2470.0,5669,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41,7766200013,775000.0,4,2.25,4220.0,24186.0,1.0,0,8,2600.0,1620,34,47.445,-122.347,2410.0,30617,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42,7203220400,861990.0,5,2.75,3595.0,5639.0,2.0,0,9,3595.0,0,4,47.6848,-122.016,3625.0,5639,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
43,9270200160,685000.0,3,1.0,1570.0,2280.0,2.0,0,7,1570.0,0,96,47.6413,-122.364,1580.0,2640,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44,1432701230,309000.0,3,1.0,1280.0,9656.0,1.0,0,6,920.0,360,59,47.4485,-122.175,1340.0,8808,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
45,8035350320,488000.0,3,2.5,3160.0,13603.0,2.0,0,8,3160.0,0,15,47.7443,-121.977,3050.0,9232,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
46,8945200830,210490.0,3,1.0,990.0,8528.0,1.0,0,6,990.0,0,52,47.3066,-122.371,1228.0,8840,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4178300310,785000.0,4,2.5,2290.0,13416.0,2.0,0,9,2290.0,0,37,47.6194,-122.151,2680.0,13685,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
48,9215400105,450000.0,3,1.75,1250.0,5963.0,1.0,0,7,1250.0,0,65,47.6796,-122.301,970.0,5100,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
49,822039084,1129575.0,3,2.5,2753.0,65005.0,1.0,2,9,2165.0,588,65,47.4041,-122.451,2680.0,72513,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
50,5245600105,228000.0,3,1.0,1190.0,9199.0,1.0,0,7,1190.0,0,63,47.4258,-122.322,1190.0,9364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,7231300125,345000.0,5,2.5,3150.0,9134.0,1.0,0,8,1640.0,1510,52,47.4934,-122.189,1990.0,9133,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
52,7518505990,600000.0,3,1.75,1410.0,4080.0,1.0,0,7,1000.0,410,68,47.6808,-122.384,1410.0,4080,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
53,3626039271,585000.0,2,1.75,1980.0,8550.0,1.0,0,7,990.0,990,37,47.6989,-122.369,1480.0,6738,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
54,4217401195,920000.0,5,2.25,2730.0,6000.0,1.5,0,8,2130.0,600,91,47.6571,-122.281,2730.0,6000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
55,9822700295,885000.0,4,2.5,2830.0,5000.0,2.0,0,9,2830.0,0,23,47.6597,-122.29,1950.0,5000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
56,9478500640,292500.0,4,2.5,2250.0,4495.0,2.0,0,7,2250.0,0,10,47.3663,-122.114,2250.0,4500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2799800710,301000.0,3,2.5,2420.0,4750.0,2.0,0,8,2420.0,0,15,47.3663,-122.122,2690.0,4750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,7922800400,951000.0,5,3.25,3250.0,14342.0,2.0,4,8,3250.0,0,50,47.588,-122.116,2960.0,11044,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
59,8079040320,430000.0,4,3.0,1850.0,9976.0,2.0,0,8,1850.0,0,27,47.5059,-122.149,2270.0,8542,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
60,1516000055,650000.0,3,2.25,2150.0,21235.0,1.0,3,8,1590.0,560,59,47.4336,-122.339,2570.0,18900,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61,9558200045,289000.0,3,1.75,1260.0,8400.0,1.0,0,7,1260.0,0,64,47.4366,-122.335,1290.0,8750,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5072410070,505000.0,3,1.75,2519.0,8690.0,2.0,0,8,2519.0,0,45,47.4428,-122.344,2500.0,9500,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,9528102996,549000.0,3,1.75,1540.0,1044.0,3.0,0,8,1540.0,0,4,47.6765,-122.32,1580.0,3090,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
64,1189001180,425000.0,3,2.25,1660.0,6000.0,1.0,0,7,1110.0,550,39,47.6113,-122.297,1440.0,4080,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
65,3253500160,317625.0,3,2.75,2770.0,3809.0,1.5,0,7,1770.0,1000,93,47.5747,-122.304,1440.0,4000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,3394100030,975000.0,4,2.5,2720.0,11049.0,2.0,0,10,2720.0,0,29,47.5815,-122.192,2750.0,11049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
67,3717000160,287000.0,4,2.5,2240.0,4648.0,2.0,0,7,2240.0,0,13,47.3378,-122.257,2221.0,4557,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1274500060,204000.0,3,1.0,1000.0,12070.0,1.0,0,7,1000.0,0,50,47.3621,-122.11,1010.0,12635,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,1802000060,1129575.0,5,2.25,3200.0,20158.0,1.0,0,8,1600.0,1600,53,47.6303,-122.215,3390.0,20158,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
70,1525059190,1040000.0,5,3.25,4770.0,50094.0,1.0,0,10,3070.0,1700,45,47.6525,-122.16,3530.0,38917,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
71,1049000060,325000.0,3,2.0,1260.0,5612.0,1.0,0,7,1260.0,0,46,47.7362,-122.179,1640.0,4745,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72,8820901275,571000.0,4,2.0,2750.0,7807.0,1.5,0,7,2250.0,500,102,47.7168,-122.287,1510.0,7807,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,5416510140,360000.0,4,2.5,2380.0,5000.0,2.0,0,8,2380.0,0,13,47.3608,-122.036,2420.0,5000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
74,3444100400,349000.0,3,1.75,1790.0,50529.0,1.0,0,7,1090.0,700,53,47.3511,-122.073,1940.0,50529,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,3276920270,832500.0,4,4.0,3430.0,35102.0,2.0,0,10,2390.0,1040,32,47.5822,-121.987,3240.0,35020,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
76,4036801170,380000.0,4,1.75,1760.0,7300.0,1.0,0,7,880.0,880,62,47.6034,-122.125,1680.0,7500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
77,2391600320,480000.0,3,1.0,1040.0,5060.0,1.0,0,7,1040.0,0,77,47.5636,-122.394,890.0,5060,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
78,6300000287,410000.0,3,1.0,1410.0,5060.0,1.0,0,7,910.0,500,62,47.7073,-122.34,1130.0,5693,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
79,1531000030,720000.0,4,2.5,3450.0,39683.0,2.0,0,10,3450.0,0,16,47.342,-122.025,3350.0,39750,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
80,5104520400,390000.0,3,2.5,2350.0,5100.0,2.0,0,8,2350.0,0,15,47.3512,-122.008,2350.0,5363,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
81,7437100340,360000.0,4,2.5,1900.0,5889.0,2.0,0,7,1900.0,0,26,47.349,-122.031,1870.0,6405,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
82,9418400240,355000.0,2,1.0,2020.0,6720.0,1.0,0,7,1010.0,1010,70,47.5474,-122.291,1720.0,6720,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
83,1523059105,356000.0,3,1.5,1680.0,8712.0,1.0,0,8,1680.0,0,54,47.4811,-122.149,1850.0,8797,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
84,1133000671,315000.0,3,1.0,960.0,6634.0,1.0,0,6,960.0,0,66,47.7264,-122.31,1570.0,7203,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
85,4232902595,940000.0,3,1.5,2140.0,3600.0,2.0,0,9,1900.0,240,93,47.6337,-122.365,2020.0,4800,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
86,2599001200,305000.0,5,2.25,2660.0,8400.0,1.5,0,7,2660.0,0,57,47.2909,-122.189,1590.0,8165,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,3342103156,461000.0,3,3.25,2770.0,6278.0,2.0,0,9,1980.0,790,12,47.5228,-122.199,1900.0,7349,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
88,1332700270,215000.0,2,2.25,1610.0,2040.0,2.0,0,7,1610.0,0,39,47.518,-122.194,1950.0,2025,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
89,3869900162,335000.0,2,1.75,1030.0,1066.0,2.0,0,7,765.0,265,12,47.5394,-122.387,1030.0,1106,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90,5036300431,1100000.0,5,2.75,3520.0,6353.0,2.0,0,10,3520.0,0,17,47.6506,-122.391,2520.0,6250,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
91,4168000060,153000.0,3,1.0,1200.0,10500.0,1.0,0,7,1200.0,0,56,47.322,-122.351,1350.0,10500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,6021501535,430000.0,3,1.5,1580.0,5000.0,1.0,0,8,1290.0,290,79,47.687,-122.386,1570.0,4500,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
93,6021501535,700000.0,3,1.5,1580.0,5000.0,1.0,0,8,1290.0,290,79,47.687,-122.386,1570.0,4500,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
94,1483300570,905000.0,4,2.5,3300.0,10250.0,1.0,0,7,2390.0,910,72,47.5873,-122.249,1950.0,6045,26,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
95,3422049190,247500.0,3,1.75,1960.0,15681.0,1.0,0,7,1960.0,0,51,47.3576,-122.277,1750.0,15616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1099611230,199000.0,4,1.5,1160.0,6400.0,1.0,0,7,1160.0,0,43,47.3036,-122.378,1160.0,6400,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
97,722079104,314000.0,3,1.75,1810.0,41800.0,1.0,0,7,1210.0,600,38,47.4109,-121.958,1650.0,135036,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
98,7338200240,437500.0,3,2.5,2320.0,36847.0,2.0,2,9,2320.0,0,26,47.4838,-121.714,2550.0,35065,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
99,1952200240,850830.0,3,2.5,2070.0,13241.0,1.5,0,9,1270.0,800,108,47.6415,-122.315,2200.0,4500,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,5200100125,555000.0,3,2.0,1980.0,3478.0,1.5,0,7,1440.0,540,89,47.6775,-122.372,1610.0,3478,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
101,7214720075,699950.0,3,2.25,2190.0,107593.0,2.0,0,8,2190.0,0,35,47.7731,-122.08,2570.0,47777,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
102,2450000295,1090000.0,3,2.5,2920.0,8113.0,2.0,0,8,2920.0,0,68,47.5814,-122.196,2370.0,8113,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
103,6197800045,290000.0,3,1.0,1210.0,33919.0,1.0,0,7,1210.0,0,64,47.4375,-122.184,1640.0,14910,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
104,1328310370,375000.0,3,2.5,2340.0,10005.0,1.0,0,8,1460.0,880,40,47.4431,-122.133,2250.0,8162,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
105,546000875,460000.0,3,1.0,1670.0,4005.0,1.5,0,7,1170.0,500,79,47.6878,-122.38,1240.0,4005,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
106,3530510041,188500.0,2,1.75,1240.0,2493.0,1.0,0,8,1240.0,0,33,47.3813,-122.322,1270.0,4966,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,1853000400,680000.0,4,2.5,3140.0,28037.0,2.0,0,10,3140.0,0,27,47.7304,-122.082,2990.0,35001,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
108,3134100116,470000.0,5,1.75,2030.0,12342.0,2.0,0,7,2030.0,0,76,47.6417,-122.109,2500.0,9433,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
109,9545230140,597750.0,4,2.5,2310.0,9624.0,2.0,0,8,2310.0,0,34,47.5386,-122.053,1940.0,9636,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,3362400511,570000.0,3,1.75,1260.0,3328.0,1.0,0,6,700.0,560,113,47.6823,-122.349,1380.0,3536,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
111,2525310310,272500.0,3,1.75,1540.0,12600.0,1.0,0,7,1160.0,380,38,47.3624,-122.031,1540.0,11656,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
112,6126500060,329950.0,3,1.75,2080.0,5969.0,1.0,2,7,1080.0,1000,47,47.5474,-122.295,2090.0,5500,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
113,8961960160,480000.0,4,2.5,3230.0,16171.0,2.0,3,9,2520.0,710,17,47.3183,-122.253,2640.0,8517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
114,3626039325,740500.0,3,3.5,4380.0,6350.0,2.0,0,8,2780.0,1600,118,47.6981,-122.368,1830.0,6350,18,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
115,3362400431,518500.0,3,3.5,1590.0,1102.0,3.0,0,8,1590.0,0,8,47.6824,-122.347,1620.0,3166,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
116,4060000240,205425.0,2,1.0,880.0,6780.0,1.0,0,6,880.0,0,73,47.5009,-122.248,1190.0,6780,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
117,3454800060,171800.0,4,2.0,1570.0,9600.0,1.0,0,6,1570.0,0,68,47.4965,-122.303,1880.0,9000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1695900060,535000.0,4,1.0,1610.0,2982.0,1.5,0,7,1610.0,0,93,47.587,-122.294,1610.0,4040,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
119,7278700070,660000.0,3,2.5,2400.0,6474.0,1.0,2,8,1560.0,840,54,47.7728,-122.386,2340.0,10856,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
120,6675500070,391500.0,3,2.0,1450.0,9132.0,1.0,0,7,1450.0,0,31,47.7288,-122.226,1580.0,9104,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
121,3626039187,395000.0,2,1.0,770.0,6000.0,1.0,0,6,770.0,0,65,47.6999,-122.364,1710.0,6000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
122,3524049083,445000.0,4,1.75,2100.0,4400.0,1.5,0,7,1720.0,380,94,47.5299,-122.266,1850.0,4400,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,3275860240,770000.0,3,2.25,2910.0,10204.0,2.0,0,9,2910.0,0,28,47.6897,-122.098,2700.0,13992,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
124,4389200955,1129575.0,4,2.75,2750.0,17789.0,1.5,0,8,1980.0,770,104,47.6141,-122.212,3060.0,11275,24,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
125,4058801670,445000.0,3,2.25,2100.0,8201.0,1.0,2,8,1620.0,480,51,47.5091,-122.244,2660.0,8712,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
126,8732020310,260000.0,4,2.25,2160.0,8811.0,1.0,0,8,1360.0,800,40,47.3129,-122.39,2090.0,8400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2331300505,822500.0,5,3.5,2320.0,4960.0,2.0,0,7,1720.0,600,92,47.6763,-122.352,1700.0,4960,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,7853210060,430000.0,4,2.5,2070.0,4310.0,2.0,0,7,2070.0,0,14,47.5319,-121.85,1970.0,3748,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
129,3668000070,212000.0,3,1.75,1060.0,7875.0,1.0,0,7,1060.0,0,32,47.2761,-122.152,1420.0,7680,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
130,9545240070,660500.0,4,2.25,2010.0,9603.0,1.0,0,8,1440.0,570,32,47.5343,-122.054,2060.0,9793,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
131,1243100136,784000.0,3,3.5,3950.0,111078.0,1.5,0,9,2460.0,1490,29,47.697,-122.072,2480.0,88500,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
132,8929000270,453246.0,3,2.5,2010.0,2287.0,2.0,0,8,1390.0,620,4,47.5517,-121.998,1690.0,1662,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
133,2767602356,675000.0,4,3.5,2140.0,2278.0,3.0,0,9,2140.0,0,13,47.6734,-122.38,1540.0,2285,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
134,921049315,199000.0,3,1.75,1320.0,17390.0,1.0,0,7,1320.0,0,62,47.3257,-122.296,1550.0,19265,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
135,3655000070,220000.0,4,1.75,2020.0,7840.0,1.0,0,7,1010.0,1010,50,47.3309,-122.299,1750.0,8140,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
136,4027700812,452000.0,4,2.25,2590.0,10002.0,1.0,0,8,1340.0,1250,50,47.7689,-122.266,1550.0,10436,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
137,3992700335,382500.0,2,1.0,1190.0,4440.0,1.0,0,6,1190.0,0,37,47.7135,-122.287,1060.0,5715,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
